date,ind,rain,ind,temp,ind,wetb,dewpt,vappr,rhum,msl,ind,wdsp,ind,wddir
01/01/2017 00:00,0,0,0,5.2,0,4.5,3.6,7.9,89,1021.9,2,8,2,320
01/01/2017 01:00,0,0,0,4.7,0,4.1,3.1,7.6,89,1022,2,9,2,320
01/01/2017 02:00,0,0,0,4.2,0,3.6,2.7,7.4,90,1022.1,2,8,2,320
01/01/2017 03:00,0,0.1,0,3.5,0,2.8,1.6,6.9,87,1022.5,2,9,2,330
01/01/2017 04:00,0,0.1,0,3.2,0,2.6,1.6,6.8,89,1022.7,2,8,2,330
01/01/2017 05:00,0,0,0,2.1,0,1.6,0.8,6.5,91,1023.3,2,8,2,330
01/01/2017 06:00,0,0,0,2,0,1.5,0.6,6.4,89,1023.5,2,7,2,330
01/01/2017 07:00,0,0,0,1.7,0,1.1,0.1,6.2,89,1024.4,2,7,2,340
01/01/2017 08:00,0,0,0,1,0,0.6,-0.2,6,91,1025,2,7,2,330
01/01/2017 09:00,0,0,0,1.1,0,0.6,-0.2,6,91,1026.1,2,8,2,330
01/01/2017 10:00,0,0,0,3,0,2.1,0.6,6.4,84,1026.8,2,9,2,320
01/01/2017 11:00,0,0,0,4.3,0,3,1,6.5,78,1027,2,12,2,350
01/01/2017 12:00,0,0,0,5.1,0,3.6,1.2,6.7,75,1027.4,2,11,2,360
01/01/2017 13:00,0,0,0,5.5,0,3.8,1,6.5,72,1027.4,2,12,2,360
01/01/2017 14:00,0,0,0,5.9,0,4,1.3,6.7,72,1027.6,2,11,2,360
01/01/2017 15:00,0,0,0,5.8,0,3.9,1.1,6.6,71,1027.9,2,11,2,10
01/01/2017 16:00,0,0,0,5.2,0,3.4,0.5,6.3,71,1028.3,2,11,2,10
01/01/2017 17:00,0,0,0,4,0,2.7,0.7,6.4,79,1029,2,6,2,10
01/01/2017 18:00,0,0,0,3.7,0,2.3,0.1,6.1,77,1029.9,2,8,2,360
01/01/2017 19:00,0,0,0,3.2,0,2.1,0.1,6.2,80,1030.2,2,7,2,350
01/01/2017 20:00,0,0,0,2.2,0,1.3,-0.2,6,84,1030.9,2,6,2,360
01/01/2017 21:00,0,0,0,2.2,0,1.3,-0.5,5.9,82,1031.3,2,6,2,350
01/01/2017 22:00,0,0,0,2.8,0,1.6,-0.5,5.9,78,1031.8,2,8,2,360
01/01/2017 23:00,0,0,0,2.7,0,1.4,-1,5.7,76,1032,2,9,2,10
02/01/2017 00:00,0,0,0,2.1,0,0.9,-1.3,5.6,78,1033.1,2,7,2,360
02/01/2017 01:00,0,0,0,1.8,0,0.7,-1.4,5.5,78,1033.3,2,7,2,10
02/01/2017 02:00,0,0,0,1.1,0,0.2,-1.6,5.4,82,1033.4,2,8,2,10
02/01/2017 03:00,0,0,0,0.8,0,-0.1,-1.8,5.3,82,1033.7,2,6,2,350
